,Item to Item,Duration
0,"('Start Node', 'Start Node')",0.0
1,"('Start Node', 'Coffee Beans')",1.5
2,"('Start Node', 'K-Cups')",3.5
3,"('Start Node', 'Capt. Crunch')",6.5
4,"('Start Node', 'Chewy Bars')",9.0
5,"('Start Node', 'Granola')",10.0
6,"('Start Node', ""Hershey's"")",9.5
7,"('Start Node', 'Flour')",7.5
8,"('Start Node', 'Syrup')",6.5
9,"('Start Node', 'Brownie Mix')",3.5
10,"('Start Node', 'Seasoning')",2.0
11,"('Start Node', 'Soup')",4.5
12,"('Start Node', 'Mac & Cheese')",6.5
13,"('Start Node', 'Ketchup')",9.5
14,"('Start Node', 'Pickles')",10.0
15,"('Start Node', 'Italian Dressing')",10.5
16,"('Start Node', 'Soy Sauce')",12.5
17,"('Start Node', 'Penne')",12.0
18,"('Start Node', 'CapriSun')",11.5
19,"('Start Node', 'Tortillas')",7.5
20,"('Start Node', 'Tomato Sauce')",4.5
21,"('Start Node', 'Ibuprofen')",6.0
22,"('Start Node', 'Diapers')",7.5
23,"('Start Node', 'Tootpaste')",13.5
24,"('Start Node', 'Tampons')",12.5
25,"('Start Node', 'Shampoo')",14.0
26,"('Start Node', 'Toilet Paper')",6.5
27,"('Start Node', 'Paper Towels')",7.5
28,"('Start Node', 'Napkins')",9.5
29,"('Start Node', 'Solo Cups')",11.5
30,"('Start Node', 'Trash Bags')",14.5
31,"('Start Node', 'Dish Soap')",7.5
32,"('Start Node', 'Detergent')",8.0
33,"('Start Node', 'Broom')",9.5
34,"('Start Node', 'Dog Treats')",12.5
35,"('Start Node', 'Air Freshner')",13.5
36,"('Start Node', 'Oreos')",15.5
37,"('Start Node', 'Popcorn')",12.5
38,"('Start Node', 'Gatorade (12)')",10.5
39,"('Start Node', 'Redbull (4)')",10.0
40,"('Start Node', 'Ritz')",8.5
41,"('Start Node', 'Coca Cola (12)')",9.5
42,"('Start Node', 'LaCroix (12)')",10.5
43,"('Start Node', 'Pepsi (12)')",10.0
44,"('Start Node', 'Seltzer (6)')",16.5
45,"('Start Node', 'Bottled Water (24)')",18.0
46,"('Start Node', 'Milk Gallon')",10.5
47,"('Start Node', 'Butter Sticks')",13.5
48,"('Start Node', 'Cookie Dough')",14.0
49,"('Start Node', 'Chobani (4)')",15.5
50,"('Start Node', 'Eggs (12)')",18.5
51,"('Start Node', 'Waffles')",18.5
52,"('Start Node', 'Taquitos')",14.5
53,"('Start Node', ""Breyer's Ice Cream"")",13.5
54,"('Start Node', 'Lasagna')",15.5
55,"('Start Node', 'Bagel Bites')",16.5
56,"('Start Node', 'Pizza (12"")')",19.5
57,"('Start Node', 'End Node')",0.0
58,"('Coffee Beans', 'Start Node')",1.5
59,"('Coffee Beans', 'Coffee Beans')",0.0
60,"('Coffee Beans', 'K-Cups')",2.0
61,"('Coffee Beans', 'Capt. Crunch')",5.0
62,"('Coffee Beans', 'Chewy Bars')",7.5
63,"('Coffee Beans', 'Granola')",8.5
64,"('Coffee Beans', ""Hershey's"")",11.0
65,"('Coffee Beans', 'Flour')",9.0
66,"('Coffee Beans', 'Syrup')",8.0
67,"('Coffee Beans', 'Brownie Mix')",5.0
68,"('Coffee Beans', 'Seasoning')",3.5
69,"('Coffee Beans', 'Soup')",6.0
70,"('Coffee Beans', 'Mac & Cheese')",8.0
71,"('Coffee Beans', 'Ketchup')",11.0
72,"('Coffee Beans', 'Pickles')",11.5
73,"('Coffee Beans', 'Italian Dressing')",12.0
74,"('Coffee Beans', 'Soy Sauce')",14.0
75,"('Coffee Beans', 'Penne')",13.5
76,"('Coffee Beans', 'CapriSun')",13.0
77,"('Coffee Beans', 'Tortillas')",9.0
78,"('Coffee Beans', 'Tomato Sauce')",6.0
79,"('Coffee Beans', 'Ibuprofen')",7.5
80,"('Coffee Beans', 'Diapers')",9.0
81,"('Coffee Beans', 'Tootpaste')",15.0
82,"('Coffee Beans', 'Tampons')",14.0
83,"('Coffee Beans', 'Shampoo')",14.5
84,"('Coffee Beans', 'Toilet Paper')",8.0
85,"('Coffee Beans', 'Paper Towels')",9.0
86,"('Coffee Beans', 'Napkins')",11.0
87,"('Coffee Beans', 'Solo Cups')",13.0
88,"('Coffee Beans', 'Trash Bags')",16.0
89,"('Coffee Beans', 'Dish Soap')",9.0
90,"('Coffee Beans', 'Detergent')",9.5
91,"('Coffee Beans', 'Broom')",11.0
92,"('Coffee Beans', 'Dog Treats')",14.0
93,"('Coffee Beans', 'Air Freshner')",15.0
94,"('Coffee Beans', 'Oreos')",17.0
95,"('Coffee Beans', 'Popcorn')",14.0
96,"('Coffee Beans', 'Gatorade (12)')",12.0
97,"('Coffee Beans', 'Redbull (4)')",11.5
98,"('Coffee Beans', 'Ritz')",10.0
99,"('Coffee Beans', 'Coca Cola (12)')",11.0
100,"('Coffee Beans', 'LaCroix (12)')",12.0
101,"('Coffee Beans', 'Pepsi (12)')",11.5
102,"('Coffee Beans', 'Seltzer (6)')",18.0
103,"('Coffee Beans', 'Bottled Water (24)')",18.5
104,"('Coffee Beans', 'Milk Gallon')",12.0
105,"('Coffee Beans', 'Butter Sticks')",15.0
106,"('Coffee Beans', 'Cookie Dough')",15.5
107,"('Coffee Beans', 'Chobani (4)')",17.0
108,"('Coffee Beans', 'Eggs (12)')",20.0
109,"('Coffee Beans', 'Waffles')",20.0
110,"('Coffee Beans', 'Taquitos')",16.0
111,"('Coffee Beans', ""Breyer's Ice Cream"")",15.0
112,"('Coffee Beans', 'Lasagna')",17.0
113,"('Coffee Beans', 'Bagel Bites')",18.0
114,"('Coffee Beans', 'Pizza (12"")')",21.0
115,"('Coffee Beans', 'End Node')",1.5
116,"('K-Cups', 'Start Node')",3.5
117,"('K-Cups', 'Coffee Beans')",2.0
118,"('K-Cups', 'K-Cups')",0.0
119,"('K-Cups', 'Capt. Crunch')",3.0
120,"('K-Cups', 'Chewy Bars')",5.5
121,"('K-Cups', 'Granola')",6.5
122,"('K-Cups', ""Hershey's"")",11.0
123,"('K-Cups', 'Flour')",11.0
124,"('K-Cups', 'Syrup')",10.0
125,"('K-Cups', 'Brownie Mix')",7.0
126,"('K-Cups', 'Seasoning')",5.5
127,"('K-Cups', 'Soup')",8.0
128,"('K-Cups', 'Mac & Cheese')",10.0
129,"('K-Cups', 'Ketchup')",13.0
130,"('K-Cups', 'Pickles')",12.5
131,"('K-Cups', 'Italian Dressing')",12.0
132,"('K-Cups', 'Soy Sauce')",12.0
133,"('K-Cups', 'Penne')",12.5
134,"('K-Cups', 'CapriSun')",13.0
135,"('K-Cups', 'Tortillas')",11.0
136,"('K-Cups', 'Tomato Sauce')",8.0
137,"('K-Cups', 'Ibuprofen')",9.5
138,"('K-Cups', 'Diapers')",11.0
139,"('K-Cups', 'Tootpaste')",13.0
140,"('K-Cups', 'Tampons')",14.0
141,"('K-Cups', 'Shampoo')",12.5
142,"('K-Cups', 'Toilet Paper')",10.0
143,"('K-Cups', 'Paper Towels')",11.0
144,"('K-Cups', 'Napkins')",13.0
145,"('K-Cups', 'Solo Cups')",15.0
146,"('K-Cups', 'Trash Bags')",14.0
147,"('K-Cups', 'Dish Soap')",11.0
148,"('K-Cups', 'Detergent')",11.5
149,"('K-Cups', 'Broom')",13.0
150,"('K-Cups', 'Dog Treats')",16.0
151,"('K-Cups', 'Air Freshner')",17.0
152,"('K-Cups', 'Oreos')",17.0
153,"('K-Cups', 'Popcorn')",16.0
154,"('K-Cups', 'Gatorade (12)')",14.0
155,"('K-Cups', 'Redbull (4)')",13.5
156,"('K-Cups', 'Ritz')",12.0
157,"('K-Cups', 'Coca Cola (12)')",13.0
158,"('K-Cups', 'LaCroix (12)')",14.0
159,"('K-Cups', 'Pepsi (12)')",13.5
160,"('K-Cups', 'Seltzer (6)')",18.0
161,"('K-Cups', 'Bottled Water (24)')",16.5
162,"('K-Cups', 'Milk Gallon')",14.0
163,"('K-Cups', 'Butter Sticks')",17.0
164,"('K-Cups', 'Cookie Dough')",17.5
165,"('K-Cups', 'Chobani (4)')",19.0
166,"('K-Cups', 'Eggs (12)')",18.0
167,"('K-Cups', 'Waffles')",20.0
168,"('K-Cups', 'Taquitos')",18.0
169,"('K-Cups', ""Breyer's Ice Cream"")",17.0
170,"('K-Cups', 'Lasagna')",19.0
171,"('K-Cups', 'Bagel Bites')",20.0
172,"('K-Cups', 'Pizza (12"")')",19.0
173,"('K-Cups', 'End Node')",3.5
174,"('Capt. Crunch', 'Start Node')",6.5
175,"('Capt. Crunch', 'Coffee Beans')",5.0
176,"('Capt. Crunch', 'K-Cups')",3.0
177,"('Capt. Crunch', 'Capt. Crunch')",0.0
178,"('Capt. Crunch', 'Chewy Bars')",2.5
179,"('Capt. Crunch', 'Granola')",3.5
180,"('Capt. Crunch', ""Hershey's"")",8.0
181,"('Capt. Crunch', 'Flour')",10.0
182,"('Capt. Crunch', 'Syrup')",11.0
183,"('Capt. Crunch', 'Brownie Mix')",10.0
184,"('Capt. Crunch', 'Seasoning')",8.5
185,"('Capt. Crunch', 'Soup')",11.0
186,"('Capt. Crunch', 'Mac & Cheese')",13.0
187,"('Capt. Crunch', 'Ketchup')",10.0
188,"('Capt. Crunch', 'Pickles')",9.5
189,"('Capt. Crunch', 'Italian Dressing')",9.0
190,"('Capt. Crunch', 'Soy Sauce')",9.0
191,"('Capt. Crunch', 'Penne')",9.5
192,"('Capt. Crunch', 'CapriSun')",10.0
193,"('Capt. Crunch', 'Tortillas')",14.0
194,"('Capt. Crunch', 'Tomato Sauce')",11.0
195,"('Capt. Crunch', 'Ibuprofen')",12.5
196,"('Capt. Crunch', 'Diapers')",14.0
197,"('Capt. Crunch', 'Tootpaste')",10.0
198,"('Capt. Crunch', 'Tampons')",11.0
199,"('Capt. Crunch', 'Shampoo')",9.5
200,"('Capt. Crunch', 'Toilet Paper')",13.0
201,"('Capt. Crunch', 'Paper Towels')",14.0
202,"('Capt. Crunch', 'Napkins')",16.0
203,"('Capt. Crunch', 'Solo Cups')",14.0
204,"('Capt. Crunch', 'Trash Bags')",11.0
205,"('Capt. Crunch', 'Dish Soap')",14.0
206,"('Capt. Crunch', 'Detergent')",14.5
207,"('Capt. Crunch', 'Broom')",16.0
208,"('Capt. Crunch', 'Dog Treats')",15.0
209,"('Capt. Crunch', 'Air Freshner')",14.0
210,"('Capt. Crunch', 'Oreos')",14.0
211,"('Capt. Crunch', 'Popcorn')",17.0
212,"('Capt. Crunch', 'Gatorade (12)')",17.0
213,"('Capt. Crunch', 'Redbull (4)')",16.5
214,"('Capt. Crunch', 'Ritz')",15.0
215,"('Capt. Crunch', 'Coca Cola (12)')",16.0
216,"('Capt. Crunch', 'LaCroix (12)')",17.0
217,"('Capt. Crunch', 'Pepsi (12)')",16.5
218,"('Capt. Crunch', 'Seltzer (6)')",15.0
219,"('Capt. Crunch', 'Bottled Water (24)')",13.5
220,"('Capt. Crunch', 'Milk Gallon')",17.0
221,"('Capt. Crunch', 'Butter Sticks')",20.0
222,"('Capt. Crunch', 'Cookie Dough')",19.5
223,"('Capt. Crunch', 'Chobani (4)')",18.0
224,"('Capt. Crunch', 'Eggs (12)')",15.0
225,"('Capt. Crunch', 'Waffles')",17.0
226,"('Capt. Crunch', 'Taquitos')",21.0
227,"('Capt. Crunch', ""Breyer's Ice Cream"")",20.0
228,"('Capt. Crunch', 'Lasagna')",20.0
229,"('Capt. Crunch', 'Bagel Bites')",19.0
230,"('Capt. Crunch', 'Pizza (12"")')",16.0
231,"('Capt. Crunch', 'End Node')",6.5
232,"('Chewy Bars', 'Start Node')",9.0
233,"('Chewy Bars', 'Coffee Beans')",7.5
234,"('Chewy Bars', 'K-Cups')",5.5
235,"('Chewy Bars', 'Capt. Crunch')",2.5
236,"('Chewy Bars', 'Chewy Bars')",0.0
237,"('Chewy Bars', 'Granola')",1.0
238,"('Chewy Bars', ""Hershey's"")",5.5
239,"('Chewy Bars', 'Flour')",7.5
240,"('Chewy Bars', 'Syrup')",8.5
241,"('Chewy Bars', 'Brownie Mix')",11.5
242,"('Chewy Bars', 'Seasoning')",11.0
243,"('Chewy Bars', 'Soup')",12.5
244,"('Chewy Bars', 'Mac & Cheese')",10.5
245,"('Chewy Bars', 'Ketchup')",7.5
246,"('Chewy Bars', 'Pickles')",7.0
247,"('Chewy Bars', 'Italian Dressing')",6.5
248,"('Chewy Bars', 'Soy Sauce')",6.5
249,"('Chewy Bars', 'Penne')",7.0
250,"('Chewy Bars', 'CapriSun')",7.5
251,"('Chewy Bars', 'Tortillas')",11.5
252,"('Chewy Bars', 'Tomato Sauce')",13.5
253,"('Chewy Bars', 'Ibuprofen')",15.0
254,"('Chewy Bars', 'Diapers')",13.5
255,"('Chewy Bars', 'Tootpaste')",7.5
256,"('Chewy Bars', 'Tampons')",8.5
257,"('Chewy Bars', 'Shampoo')",7.0
258,"('Chewy Bars', 'Toilet Paper')",15.5
259,"('Chewy Bars', 'Paper Towels')",15.5
260,"('Chewy Bars', 'Napkins')",13.5
261,"('Chewy Bars', 'Solo Cups')",11.5
262,"('Chewy Bars', 'Trash Bags')",8.5
263,"('Chewy Bars', 'Dish Soap')",16.5
264,"('Chewy Bars', 'Detergent')",17.0
265,"('Chewy Bars', 'Broom')",15.5
266,"('Chewy Bars', 'Dog Treats')",12.5
267,"('Chewy Bars', 'Air Freshner')",11.5
268,"('Chewy Bars', 'Oreos')",11.5
269,"('Chewy Bars', 'Popcorn')",14.5
270,"('Chewy Bars', 'Gatorade (12)')",16.5
271,"('Chewy Bars', 'Redbull (4)')",17.0
272,"('Chewy Bars', 'Ritz')",17.5
273,"('Chewy Bars', 'Coca Cola (12)')",18.5
274,"('Chewy Bars', 'LaCroix (12)')",18.5
